,straat,huisnr,adres,vergunning,vergund tot
697,Abraham van den Boshof,59,Abraham van den Boshof 59,omgevingsvergunning,2023-05-26
698,Graaf Adolf van Nassaustraat,122,Graaf Adolf van Nassaustraat 122,nachthoreca,2025-11-04
699,Oude Bovendijk,188,Oude Bovendijk 188,exploitatievergunning,2026-07-11
700,Bartholomeus Everardus Molen,9,Bartholomeus Everardus Molen 9,alcoholvergunning,2023-04-14
701,Pieter de Hoochweg,124,Pieter de Hoochweg 124,nachthoreca,2022-07-24
702,Rusthoflaan,199,Rusthoflaan 199,alcoholvergunning,2022-10-06
703,Assendelftstraat,33,Assendelftstraat 33,alcoholvergunning,2025-06-17
704,Burgemeester Le Fèvre de Montignyplein,186,Burgemeester Le Fèvre de Montignyplein 186,nachthoreca,2023-02-06
705,Theeroos,138,Theeroos 138,exploitatievergunning,2025-12-31
706,Hindersteinstraat,86,Hindersteinstraat 86,nachthoreca,2022-08-30
707,Virulyplein,6,Virulyplein 6,nachthoreca,2023-01-28
708,Hulkstraat,179,Hulkstraat 179,alcoholvergunning,2026-02-23
709,Adrienne Solserpad,6,Adrienne Solserpad 6,nachthoreca,2025-01-31
710,Zuidlaardermeer,167,Zuidlaardermeer 167,alcoholvergunning,2025-10-09
711,Hellevoetstraat,143,Hellevoetstraat 143,terrasvergunning,2026-11-18
712,Bredestraathof,44,Bredestraathof 44,omgevingsvergunning,2024-07-27
713,Ravenswaard,40,Ravenswaard 40,exploitatievergunning,2023-08-07
714,Kwartelstraat,103,Kwartelstraat 103,nachthoreca,2025-01-20
715,Marsmanstraat,126,Marsmanstraat 126,alcoholvergunning,2023-02-07
716,Marnixdwarsstraat,11,Marnixdwarsstraat 11,nachthoreca,2025-01-07
717,Dalkruidstraat,112,Dalkruidstraat 112,nachthoreca,2026-01-08
718,Stadhoudersweg,10,Stadhoudersweg 10,exploitatievergunning,2024-07-20
719,De Mussetstraat,138,De Mussetstraat 138,alcoholvergunning,2024-02-23
720,Mauvelaan,83,Mauvelaan 83,alcoholvergunning,2026-01-30
721,Bredestraat,103,Bredestraat 103,nachthoreca,2025-07-15
722,Bergstraat,127,Bergstraat 127,exploitatievergunning,2025-06-05
723,Delfshavenseweg,110,Delfshavenseweg 110,nachthoreca,2023-09-30
724,Rolf Hartkoornweg,181,Rolf Hartkoornweg 181,terrasvergunning,2027-06-14
725,Soldanellestraat,50,Soldanellestraat 50,omgevingsvergunning,2027-04-21
726,Van der Duijn van Maasdamweg,103,Van der Duijn van Maasdamweg 103,alcoholvergunning,2024-04-16
727,Toulondreef,176,Toulondreef 176,nachthoreca,2022-10-28
728,Ferry Wiennekestraat,107,Ferry Wiennekestraat 107,terrasvergunning,2025-02-27
729,Gerrit Rietveldstraat,129,Gerrit Rietveldstraat 129,nachthoreca,2023-05-18
730,Tongelaarweg,151,Tongelaarweg 151,nachthoreca,2025-09-14
731,Baljuwplein,192,Baljuwplein 192,nachthoreca,2022-06-30
732,Nieuwstraat,174,Nieuwstraat 174,exploitatievergunning,2024-12-30
733,Tapuitstraat,126,Tapuitstraat 126,nachthoreca,2025-10-25
734,Gravin Adélastraat,144,Gravin Adélastraat 144,exploitatievergunning,2026-01-24
735,Anthony Cankrienstraat,194,Anthony Cankrienstraat 194,omgevingsvergunning,2022-08-06
736,Pupillenstraat,79,Pupillenstraat 79,alcoholvergunning,2026-08-22
737,Terwenakker,65,Terwenakker 65,terrasvergunning,2024-08-02
738,Eemhavenweg,181,Eemhavenweg 181,alcoholvergunning,2024-07-26
739,Palamedesstraat,58,Palamedesstraat 58,exploitatievergunning,2026-11-28
740,Drs. P-kade,86,Drs. P-kade 86,alcoholvergunning,2022-12-13
741,Augsburgstraat,133,Augsburgstraat 133,nachthoreca,2024-04-23
742,Laan van Weltevreden,111,Laan van Weltevreden 111,nachthoreca,2025-04-16
743,Beverwaardseweg,49,Beverwaardseweg 49,terrasvergunning,2024-02-01
744,1e IJzerstraat,59,1e IJzerstraat 59,nachthoreca,2023-06-17
745,Sapphostraat,117,Sapphostraat 117,exploitatievergunning,2026-02-08
746,Staalstraat,165,Staalstraat 165,alcoholvergunning,2026-05-21
747,Koedoodstraat,26,Koedoodstraat 26,omgevingsvergunning,2025-10-31
748,Zevenkampseweg,6,Zevenkampseweg 6,alcoholvergunning,2023-01-10
749,Ericaplein,66,Ericaplein 66,omgevingsvergunning,2025-07-21
750,Koninginnenhoofd,104,Koninginnenhoofd 104,exploitatievergunning,2025-01-28
751,Marmerhof,37,Marmerhof 37,omgevingsvergunning,2022-10-09
752,Sint-Mariastraat,31,Sint-Mariastraat 31,exploitatievergunning,2024-09-21
753,Breevaartstraat,176,Breevaartstraat 176,omgevingsvergunning,2027-06-12
754,Hang,129,Hang 129,omgevingsvergunning,2024-06-16
755,Ploegstraat,60,Ploegstraat 60,nachthoreca,2026-04-15
756,Staluse Perahof,54,Staluse Perahof 54,terrasvergunning,2024-02-14
757,Weizichtstraat,41,Weizichtstraat 41,terrasvergunning,2022-12-13
758,Alcorplein,89,Alcorplein 89,nachthoreca,2023-07-12
759,Zwijndrechtseplein,92,Zwijndrechtseplein 92,alcoholvergunning,2025-01-15
760,Tubantenoord,40,Tubantenoord 40,terrasvergunning,2025-03-14
761,Sint-Jobsweg,32,Sint-Jobsweg 32,terrasvergunning,2024-10-18
762,Terwenakker,137,Terwenakker 137,omgevingsvergunning,2024-08-07
763,Keppelland,119,Keppelland 119,alcoholvergunning,2026-04-17
764,Linker Rottekadehof,94,Linker Rottekadehof 94,omgevingsvergunning,2024-05-20
765,Balkenstraat,98,Balkenstraat 98,omgevingsvergunning,2022-10-30
766,Johannes Jansoniushof,3,Johannes Jansoniushof 3,exploitatievergunning,2025-01-23
767,Obrechtlaan,140,Obrechtlaan 140,nachthoreca,2025-11-27
768,Amstenradehoek,155,Amstenradehoek 155,alcoholvergunning,2025-07-17
769,Titaniumstraat,79,Titaniumstraat 79,nachthoreca,2023-02-07
770,Prinsenlandsepad,60,Prinsenlandsepad 60,terrasvergunning,2027-03-28
771,Hoevelakensingel,127,Hoevelakensingel 127,exploitatievergunning,2026-06-04
772,Delfshavenseweg,133,Delfshavenseweg 133,nachthoreca,2025-03-09
773,Wapenstraat,67,Wapenstraat 67,omgevingsvergunning,2024-01-28
774,Treek,116,Treek 116,nachthoreca,2024-06-04
775,Jan Sirksstraat,94,Jan Sirksstraat 94,terrasvergunning,2023-04-27
776,A.B.N. Davidsplein,15,A.B.N. Davidsplein 15,nachthoreca,2024-06-23
777,Neushoornstraat,128,Neushoornstraat 128,terrasvergunning,2024-05-28
778,Julianastraat,77,Julianastraat 77,alcoholvergunning,2027-05-27
779,Pantserstraat,29,Pantserstraat 29,exploitatievergunning,2027-06-10
780,Tulpenoord,185,Tulpenoord 185,omgevingsvergunning,2023-10-27
781,Aelbrechtskolk,77,Aelbrechtskolk 77,exploitatievergunning,2024-05-04
782,Sjanghailaan,176,Sjanghailaan 176,terrasvergunning,2026-05-22
783,Delistraat,163,Delistraat 163,nachthoreca,2024-07-16
784,Hilledwarsstraat,129,Hilledwarsstraat 129,alcoholvergunning,2022-12-09
785,Crooswijksestraat,142,Crooswijksestraat 142,terrasvergunning,2023-02-12
786,Lindtstraat,68,Lindtstraat 68,exploitatievergunning,2023-06-20
787,Blijvenburgstraat,57,Blijvenburgstraat 57,terrasvergunning,2026-05-04
788,Groene Kruisweg,118,Groene Kruisweg 118,nachthoreca,2026-09-11
789,Viergeverstraat,73,Viergeverstraat 73,omgevingsvergunning,2025-12-30
790,Sleephellingstraat,159,Sleephellingstraat 159,omgevingsvergunning,2026-11-26
791,Artemispad,110,Artemispad 110,alcoholvergunning,2025-04-25
792,Bunschotenweg,95,Bunschotenweg 95,nachthoreca,2025-11-20
793,Talingstraat,18,Talingstraat 18,nachthoreca,2025-06-08
794,1e Pijnackerstraat,33,1e Pijnackerstraat 33,terrasvergunning,2024-09-25
795,Kastanjedaal,20,Kastanjedaal 20,nachthoreca,2025-02-26
796,Gaagstraat,158,Gaagstraat 158,exploitatievergunning,2023-04-16
797,Struitenweg,144,Struitenweg 144,alcoholvergunning,2027-03-09
798,Glasgowstraat,6,Glasgowstraat 6,alcoholvergunning,2023-07-28
799,Stootblok,53,Stootblok 53,nachthoreca,2024-10-25
800,Sneeuwbalstraat,126,Sneeuwbalstraat 126,nachthoreca,2022-06-30
801,Koningsvaren,62,Koningsvaren 62,nachthoreca,2025-08-26
802,Truus Wijsmullerpad,132,Truus Wijsmullerpad 132,terrasvergunning,2023-12-06
803,Bornerveld,146,Bornerveld 146,nachthoreca,2023-05-04
804,Bloemhof,144,Bloemhof 144,exploitatievergunning,2023-11-29
805,Bleyenbeekstraat,1,Bleyenbeekstraat 1,terrasvergunning,2024-10-08
806,Corverstraat,128,Corverstraat 128,alcoholvergunning,2022-06-26
807,Molenstraat,28,Molenstraat 28,alcoholvergunning,2027-04-03
808,Vierhavensstraat,103,Vierhavensstraat 103,alcoholvergunning,2023-01-17
809,Violierstraat,132,Violierstraat 132,alcoholvergunning,2025-05-04
810,Kroonstaddreef,77,Kroonstaddreef 77,alcoholvergunning,2025-05-27
811,Schouwburgplein,175,Schouwburgplein 175,alcoholvergunning,2026-08-18
812,Oude Watering,9,Oude Watering 9,terrasvergunning,2024-11-18
813,Schollevaartse Dreef,7,Schollevaartse Dreef 7,nachthoreca,2025-09-15
814,President Rooseveltweg,89,President Rooseveltweg 89,omgevingsvergunning,2024-12-07
815,Jan Prinshof,196,Jan Prinshof 196,omgevingsvergunning,2026-12-24
816,Rauwenhoffstraat,119,Rauwenhoffstraat 119,exploitatievergunning,2027-02-28
817,Korte Bruijnstraat,41,Korte Bruijnstraat 41,alcoholvergunning,2023-04-25
818,Klarinet,197,Klarinet 197,alcoholvergunning,2027-03-21
819,Pierre Cardinstraat,10,Pierre Cardinstraat 10,alcoholvergunning,2026-11-08
820,Lijnbaanhof,159,Lijnbaanhof 159,nachthoreca,2025-03-07
821,Rutherfordweg,21,Rutherfordweg 21,nachthoreca,2022-07-14
822,Heemraadssingel,168,Heemraadssingel 168,alcoholvergunning,2023-12-20
823,Hofdijk,150,Hofdijk 150,exploitatievergunning,2023-11-18
824,Gerard van Houweningepad,110,Gerard van Houweningepad 110,omgevingsvergunning,2027-03-06
825,Vredehofstraat,123,Vredehofstraat 123,nachthoreca,2024-12-27
826,Stokerstraat,117,Stokerstraat 117,nachthoreca,2025-04-12
827,Hennewierstraat,161,Hennewierstraat 161,terrasvergunning,2023-01-29
828,Elskamp,136,Elskamp 136,nachthoreca,2026-03-25
829,Obreenstraat,71,Obreenstraat 71,omgevingsvergunning,2026-08-08
830,Pampagras,145,Pampagras 145,omgevingsvergunning,2024-05-29
831,Eiberpad,138,Eiberpad 138,alcoholvergunning,2026-09-02
832,Grenskreek,190,Grenskreek 190,alcoholvergunning,2023-09-18
833,Zuiderlaan,5,Zuiderlaan 5,omgevingsvergunning,2023-11-04
834,Pantserstraat,53,Pantserstraat 53,omgevingsvergunning,2025-05-30
835,Hennewierstraat,84,Hennewierstraat 84,exploitatievergunning,2023-08-20
836,Plassingel,171,Plassingel 171,terrasvergunning,2024-08-07
837,Weena-zuid,105,Weena-zuid 105,omgevingsvergunning,2024-11-19
838,Fuutstraat,132,Fuutstraat 132,terrasvergunning,2025-03-24
839,Parkhaven,167,Parkhaven 167,nachthoreca,2022-09-12
840,Rozenburglaan,172,Rozenburglaan 172,exploitatievergunning,2027-05-29
841,Zernikeplaats,96,Zernikeplaats 96,exploitatievergunning,2026-07-12
842,Geuzenstraat,7,Geuzenstraat 7,exploitatievergunning,2023-05-17
843,RDM-plein,175,RDM-plein 175,exploitatievergunning,2023-11-08
844,Westewagenstraat,152,Westewagenstraat 152,alcoholvergunning,2023-04-05
845,Jacques Dutilhweg,90,Jacques Dutilhweg 90,terrasvergunning,2024-02-04
846,Pijnackerplein,119,Pijnackerplein 119,alcoholvergunning,2027-01-26
847,Cornelis Drebbelhof,147,Cornelis Drebbelhof 147,exploitatievergunning,2023-11-21
848,Boekweitstraat,81,Boekweitstraat 81,terrasvergunning,2025-10-06
849,Alblasstraat,144,Alblasstraat 144,exploitatievergunning,2023-03-26
850,Godschalkstraat,85,Godschalkstraat 85,exploitatievergunning,2022-09-03
851,Perentuin,163,Perentuin 163,exploitatievergunning,2024-11-06
852,Loods Celebes,20,Loods Celebes 20,alcoholvergunning,2023-01-30
853,Stadhuisplein,53,Stadhuisplein 53,omgevingsvergunning,2026-09-09
854,Korte Bajonetstraat,14,Korte Bajonetstraat 14,alcoholvergunning,2026-02-24
855,Aesopusviaduct,102,Aesopusviaduct 102,exploitatievergunning,2025-02-23
856,Baanweg,32,Baanweg 32,exploitatievergunning,2025-02-24
857,Cees Seepad,161,Cees Seepad 161,terrasvergunning,2024-06-29
858,Visbyerf,98,Visbyerf 98,terrasvergunning,2027-01-27
859,F. Bordewijkstraat,25,F. Bordewijkstraat 25,omgevingsvergunning,2027-03-04
860,Dennekruid,132,Dennekruid 132,terrasvergunning,2027-04-28
861,Paul Krugerstraat,24,Paul Krugerstraat 24,alcoholvergunning,2023-05-11
862,Breeweg,125,Breeweg 125,omgevingsvergunning,2024-12-08
863,Veenweg,168,Veenweg 168,alcoholvergunning,2027-03-10
864,Gustave Dixonstraat,84,Gustave Dixonstraat 84,terrasvergunning,2024-07-17
865,Oostzeedijk,99,Oostzeedijk 99,omgevingsvergunning,2023-12-26
866,Menno ter Braakstraat,189,Menno ter Braakstraat 189,nachthoreca,2026-01-01
867,Boudewijnstraat,158,Boudewijnstraat 158,terrasvergunning,2025-09-10
868,Bramantestraat,30,Bramantestraat 30,nachthoreca,2026-03-13
869,Oeverstraat,80,Oeverstraat 80,terrasvergunning,2024-07-07
870,Von Weberlaan,178,Von Weberlaan 178,terrasvergunning,2023-08-14
871,Amer,176,Amer 176,nachthoreca,2026-10-10
872,Cornelis Trompstraat,158,Cornelis Trompstraat 158,exploitatievergunning,2025-03-31
873,Bruijnstraat,111,Bruijnstraat 111,exploitatievergunning,2025-03-07
874,Ruivenplantsoen,133,Ruivenplantsoen 133,terrasvergunning,2027-05-26
875,Noordwellestraat,47,Noordwellestraat 47,alcoholvergunning,2025-04-12
876,Andrej Sacharovstraat,164,Andrej Sacharovstraat 164,exploitatievergunning,2025-07-12
877,Paul Nijghkade,174,Paul Nijghkade 174,exploitatievergunning,2027-06-01
878,Weizichtstraat,180,Weizichtstraat 180,alcoholvergunning,2024-07-19
879,Noordmolendwarsstraat,79,Noordmolendwarsstraat 79,omgevingsvergunning,2024-12-01
880,Lisstraat,164,Lisstraat 164,exploitatievergunning,2026-04-18
881,Koevordermeer,154,Koevordermeer 154,terrasvergunning,2023-12-25
882,Hoevestraat,156,Hoevestraat 156,terrasvergunning,2024-09-29
883,Korte Poolsterstraat,48,Korte Poolsterstraat 48,alcoholvergunning,2023-04-12
884,Kameliastraat,147,Kameliastraat 147,alcoholvergunning,2024-07-19
885,Persoonsdam,144,Persoonsdam 144,alcoholvergunning,2027-02-05
886,Celsiusstraat,112,Celsiusstraat 112,omgevingsvergunning,2023-10-18
887,Ruivenplantsoen,113,Ruivenplantsoen 113,nachthoreca,2026-09-09
888,Oost-Pietermanstraat,189,Oost-Pietermanstraat 189,nachthoreca,2022-09-28
889,Grouw,31,Grouw 31,exploitatievergunning,2024-06-30
890,Haringpakkersstraat,184,Haringpakkersstraat 184,exploitatievergunning,2024-10-24
891,Jaffa,131,Jaffa 131,omgevingsvergunning,2024-03-02
892,Voorde,196,Voorde 196,omgevingsvergunning,2026-01-15
893,Persoonsstraat,42,Persoonsstraat 42,alcoholvergunning,2023-11-15
894,Carel van Nieveltstraat,108,Carel van Nieveltstraat 108,terrasvergunning,2024-03-06
895,Molenhoek,23,Molenhoek 23,terrasvergunning,2025-11-28
896,Dalenoord,158,Dalenoord 158,terrasvergunning,2026-08-27
897,Coendersborchdam,3,Coendersborchdam 3,alcoholvergunning,2025-02-06
898,Drutenstraat,157,Drutenstraat 157,nachthoreca,2025-05-30
899,Staluse Perahof,82,Staluse Perahof 82,alcoholvergunning,2023-07-20
900,Stellendamstraat,7,Stellendamstraat 7,alcoholvergunning,2027-03-21
901,Tempeststraat,58,Tempeststraat 58,terrasvergunning,2023-01-06
902,Van de Leckestraat,138,Van de Leckestraat 138,alcoholvergunning,2026-09-05
903,Berlagepad,181,Berlagepad 181,nachthoreca,2023-05-06
904,1e Middellandstraat,148,1e Middellandstraat 148,omgevingsvergunning,2022-10-27
905,Dirk de Lijsterstraat,44,Dirk de Lijsterstraat 44,terrasvergunning,2026-09-09
906,Baroniestraat,61,Baroniestraat 61,terrasvergunning,2027-04-19
907,Keizerstraat,51,Keizerstraat 51,terrasvergunning,2023-01-26
908,Jan Vrijlandtsingel,187,Jan Vrijlandtsingel 187,alcoholvergunning,2025-10-13
909,Weenapad,101,Weenapad 101,nachthoreca,2025-11-28
910,Buddenkamp,126,Buddenkamp 126,nachthoreca,2023-08-22
911,Van Marumhof,26,Van Marumhof 26,exploitatievergunning,2027-01-27
912,Schoolstraat,172,Schoolstraat 172,terrasvergunning,2024-07-31
913,Leo Lashleylaan,136,Leo Lashleylaan 136,terrasvergunning,2023-11-02
914,Kerstroosstraat,115,Kerstroosstraat 115,alcoholvergunning,2025-05-01
915,Watergeusstraat,53,Watergeusstraat 53,exploitatievergunning,2026-11-16
916,Specerijenhof,116,Specerijenhof 116,nachthoreca,2023-04-13
917,Vlaggemanstraat,4,Vlaggemanstraat 4,nachthoreca,2023-05-01
918,Hunenborgplantsoen,113,Hunenborgplantsoen 113,nachthoreca,2026-09-08
919,De Rotterdamweg,33,De Rotterdamweg 33,terrasvergunning,2026-02-18
920,Weipad,145,Weipad 145,nachthoreca,2026-04-26
921,Muurbloemstraat,115,Muurbloemstraat 115,alcoholvergunning,2022-06-30
922,Van Goghlaan,197,Van Goghlaan 197,omgevingsvergunning,2023-04-15
923,Vissersdijk,123,Vissersdijk 123,nachthoreca,2024-09-02
924,Wilgenoord,185,Wilgenoord 185,exploitatievergunning,2022-09-30
925,Russischestraat,183,Russischestraat 183,terrasvergunning,2024-10-18
926,Madernastraat,177,Madernastraat 177,alcoholvergunning,2026-10-06
927,Benthuizerstraat,51,Benthuizerstraat 51,exploitatievergunning,2024-10-16
928,Gaesbeekstraat,140,Gaesbeekstraat 140,terrasvergunning,2027-05-09
929,Dynamostraat,157,Dynamostraat 157,nachthoreca,2025-03-01
930,Kreekkade,135,Kreekkade 135,omgevingsvergunning,2023-09-09
931,Singravenplein,84,Singravenplein 84,nachthoreca,2024-10-13
932,Gerrit van de Lindestraat,18,Gerrit van de Lindestraat 18,alcoholvergunning,2023-06-22
933,Anna van Westrienenstraat,50,Anna van Westrienenstraat 50,omgevingsvergunning,2026-05-01
934,Rinus Terlouwstraat,123,Rinus Terlouwstraat 123,terrasvergunning,2025-05-07
935,C.N.A.Looslaan,58,C.N.A.Looslaan 58,nachthoreca,2023-04-02
936,Oaseplein,2,Oaseplein 2,alcoholvergunning,2026-08-15
937,Heegermeer,102,Heegermeer 102,omgevingsvergunning,2026-08-11
938,Karmelweg,6,Karmelweg 6,omgevingsvergunning,2025-12-31
939,Wed,2,Wed 2,nachthoreca,2026-07-04
940,Hendrick Staetsweg,176,Hendrick Staetsweg 176,terrasvergunning,2024-08-06
941,Lieve Verschuierstraat,125,Lieve Verschuierstraat 125,terrasvergunning,2023-05-17
942,Van Leeuwenhoekhof,148,Van Leeuwenhoekhof 148,terrasvergunning,2025-08-16
943,Rozenkamp,73,Rozenkamp 73,nachthoreca,2027-03-19
944,Parmentierplein,196,Parmentierplein 196,omgevingsvergunning,2024-06-22
945,Parallelweg,102,Parallelweg 102,nachthoreca,2026-07-18
946,Binnenrottehof,10,Binnenrottehof 10,omgevingsvergunning,2025-07-07
947,Emmastraat,39,Emmastraat 39,nachthoreca,2023-07-13
948,Elisabethlaan,91,Elisabethlaan 91,nachthoreca,2026-08-16
949,Meester Marrestraat,24,Meester Marrestraat 24,terrasvergunning,2022-09-03
950,Sandeveld,127,Sandeveld 127,nachthoreca,2022-07-30
951,Roestmos,196,Roestmos 196,omgevingsvergunning,2027-01-30
952,Sheffieldstraat,89,Sheffieldstraat 89,nachthoreca,2023-01-29
953,Ludolf de Jonghstraat,158,Ludolf de Jonghstraat 158,terrasvergunning,2025-04-01
954,Gerardskruid,32,Gerardskruid 32,nachthoreca,2024-01-25
955,Courzandseweg,169,Courzandseweg 169,omgevingsvergunning,2025-10-10
956,Hazesprong,171,Hazesprong 171,omgevingsvergunning,2022-12-18
957,Utrechtsestraat,123,Utrechtsestraat 123,terrasvergunning,2026-11-13
958,Mezenhof,126,Mezenhof 126,nachthoreca,2026-07-30
959,2e Pioenstraat,17,2e Pioenstraat 17,alcoholvergunning,2022-08-18
960,Emerstraat,11,Emerstraat 11,omgevingsvergunning,2022-10-21
961,Cartesiusstraat,75,Cartesiusstraat 75,nachthoreca,2022-11-05
962,Eekhoutstraat,4,Eekhoutstraat 4,nachthoreca,2025-06-24
963,Sonnemerestraat,122,Sonnemerestraat 122,omgevingsvergunning,2023-12-01
964,Bouwmanstraat,105,Bouwmanstraat 105,alcoholvergunning,2023-08-02
965,Veerlaan,28,Veerlaan 28,nachthoreca,2026-07-19
966,Puntegaalstraat,196,Puntegaalstraat 196,terrasvergunning,2023-05-27
967,Van Lennepstraat,115,Van Lennepstraat 115,terrasvergunning,2024-11-22
968,Hernenpad,21,Hernenpad 21,exploitatievergunning,2025-12-31
969,Sparrendaal,176,Sparrendaal 176,exploitatievergunning,2026-04-17
970,Verdilaan,129,Verdilaan 129,alcoholvergunning,2026-03-02
971,Dennepijlstaart,53,Dennepijlstaart 53,omgevingsvergunning,2025-12-10
972,Zevenkampse Ring,196,Zevenkampse Ring 196,exploitatievergunning,2023-01-13
973,Krimpenerstraat,111,Krimpenerstraat 111,exploitatievergunning,2026-08-31
974,Albatroslaan,102,Albatroslaan 102,terrasvergunning,2023-07-24
975,Oranjestraat,175,Oranjestraat 175,omgevingsvergunning,2023-01-13
976,Kolk,155,Kolk 155,alcoholvergunning,2025-06-26
977,Johannes Drostpad,51,Johannes Drostpad 51,nachthoreca,2027-01-30
978,Paltroklaan,74,Paltroklaan 74,terrasvergunning,2024-03-19
979,Baarlandhof,11,Baarlandhof 11,exploitatievergunning,2025-07-07
980,Vliststraat,112,Vliststraat 112,omgevingsvergunning,2026-01-12
981,Wijnbrugstraat,182,Wijnbrugstraat 182,terrasvergunning,2026-04-01
982,Bruijnstraat,51,Bruijnstraat 51,nachthoreca,2026-12-20
983,Slotstraat,26,Slotstraat 26,nachthoreca,2023-08-30
984,Lombokstraat,10,Lombokstraat 10,omgevingsvergunning,2023-01-10
985,Corry Tendeloostraat,40,Corry Tendeloostraat 40,exploitatievergunning,2026-09-12
986,Willem van Hillegaersbergstraat,181,Willem van Hillegaersbergstraat 181,exploitatievergunning,2024-07-04
987,Reservoirpad,107,Reservoirpad 107,omgevingsvergunning,2025-11-06
988,Karmozijnbes,68,Karmozijnbes 68,nachthoreca,2025-10-04
989,Heer Vrankelaan,111,Heer Vrankelaan 111,nachthoreca,2025-04-09
990,Quintstraat,84,Quintstraat 84,exploitatievergunning,2023-01-14
991,Lattakia-erf,77,Lattakia-erf 77,alcoholvergunning,2022-09-21
992,Paltroklaan,89,Paltroklaan 89,terrasvergunning,2023-05-08
993,Luntershoek,9,Luntershoek 9,alcoholvergunning,2025-09-29
994,Groene Wetering,168,Groene Wetering 168,omgevingsvergunning,2023-10-09
995,Sydneystraat,96,Sydneystraat 96,nachthoreca,2023-07-07
996,Leliestraat,14,Leliestraat 14,omgevingsvergunning,2024-03-31
997,Hondiusstraat,6,Hondiusstraat 6,nachthoreca,2023-08-18
998,Vreelustweg,125,Vreelustweg 125,terrasvergunning,2022-12-26
999,Mecklenburglaan,80,Mecklenburglaan 80,omgevingsvergunning,2026-10-18
1000,Keizerstraat,130,Keizerstraat 130,omgevingsvergunning,2026-10-18
1001,Atalantapad,5,Atalantapad 5,alcoholvergunning,2024-03-26
1002,Yersekestraat,103,Yersekestraat 103,alcoholvergunning,2022-10-26
1003,Wielrenstraat,116,Wielrenstraat 116,omgevingsvergunning,2024-03-27
1004,Skagenerf,158,Skagenerf 158,nachthoreca,2026-06-21
1005,Wouwerlaan,126,Wouwerlaan 126,terrasvergunning,2023-01-03
1006,Hanespoordoorn,190,Hanespoordoorn 190,nachthoreca,2025-01-20
1007,Hugo de Grootstraat,32,Hugo de Grootstraat 32,exploitatievergunning,2027-04-28
1008,Oosterhagen,150,Oosterhagen 150,exploitatievergunning,2024-12-30
1009,Sumatraweg,148,Sumatraweg 148,alcoholvergunning,2024-04-29
1010,Mare,66,Mare 66,exploitatievergunning,2022-07-07
1011,Schiebroeksesingel,85,Schiebroeksesingel 85,alcoholvergunning,2023-03-24
1012,Jan Jacob Slauerhoffstraat,51,Jan Jacob Slauerhoffstraat 51,nachthoreca,2026-09-18
1013,Dordtselaan,127,Dordtselaan 127,exploitatievergunning,2023-02-27
1014,Pietje Bellstraat,88,Pietje Bellstraat 88,nachthoreca,2025-10-11
1015,Ravenhorst,43,Ravenhorst 43,omgevingsvergunning,2025-09-27
1016,Loganbes,176,Loganbes 176,exploitatievergunning,2023-04-18
1017,Van Enckevoirtlaan,115,Van Enckevoirtlaan 115,alcoholvergunning,2024-06-15
1018,Leeuwenhorst,144,Leeuwenhorst 144,alcoholvergunning,2027-02-03
1019,Cillaarshoekdijk,121,Cillaarshoekdijk 121,omgevingsvergunning,2022-08-04
1020,Soetendaalseplein,5,Soetendaalseplein 5,alcoholvergunning,2026-04-08
1021,Maria van Reigersberchstraat,43,Maria van Reigersberchstraat 43,omgevingsvergunning,2025-10-31
1022,Cipreslaan,171,Cipreslaan 171,alcoholvergunning,2023-10-14
1023,Maashaven N.z.,124,Maashaven N.z. 124,exploitatievergunning,2023-11-15
1024,Damastroos,152,Damastroos 152,omgevingsvergunning,2025-07-01
1025,Van der Sluysstraat,170,Van der Sluysstraat 170,exploitatievergunning,2025-02-03
1026,Freericksplaats,150,Freericksplaats 150,omgevingsvergunning,2026-01-04
1027,Achterdonk,79,Achterdonk 79,nachthoreca,2027-05-05
1028,Nicolaas Beetsstraat,5,Nicolaas Beetsstraat 5,nachthoreca,2022-09-14
1029,Bergluststraat,137,Bergluststraat 137,omgevingsvergunning,2023-11-09
1030,Posthumalaan,198,Posthumalaan 198,alcoholvergunning,2024-10-29
1031,Haverlandstraat,172,Haverlandstraat 172,omgevingsvergunning,2027-01-03
1032,Annie van Eesstraat,156,Annie van Eesstraat 156,exploitatievergunning,2026-03-02
1033,Rodezandhof,27,Rodezandhof 27,nachthoreca,2023-04-25
1034,Filterhuispad,116,Filterhuispad 116,omgevingsvergunning,2023-10-02
1035,Schout van Groenewegenstraat,15,Schout van Groenewegenstraat 15,omgevingsvergunning,2025-05-27
1036,Sneeuwheide,35,Sneeuwheide 35,alcoholvergunning,2025-07-08
1037,Slingeplein,46,Slingeplein 46,exploitatievergunning,2024-05-31
1038,Claes de Vrieselaan,54,Claes de Vrieselaan 54,terrasvergunning,2026-08-25
1039,Veerkade,62,Veerkade 62,omgevingsvergunning,2027-04-01
1040,Melbournestraat,130,Melbournestraat 130,omgevingsvergunning,2024-06-27
1041,Drievriendenstraat,12,Drievriendenstraat 12,terrasvergunning,2025-11-28
1042,Celesta,188,Celesta 188,nachthoreca,2026-01-15
1043,Hulsterlo,111,Hulsterlo 111,alcoholvergunning,2025-04-30
1044,Dirk Smeetslaan,171,Dirk Smeetslaan 171,terrasvergunning,2024-01-21
1045,Bermweg,34,Bermweg 34,alcoholvergunning,2023-07-09
1046,Van der Meydestraat,163,Van der Meydestraat 163,exploitatievergunning,2022-08-27
